estimated_delivery_month,late_delivery,all_delivery,late_delivery_rate
2016-10-01,1,2,50.0
2016-11-01,2,142,1.4
2016-12-01,0,120,0.0
2017-01-01,0,3,0.0
2017-02-01,11,304,3.6
2017-03-01,76,2608,2.9
2017-04-01,97,2131,4.6
2017-05-01,190,2906,6.5
2017-06-01,87,3495,2.5
2017-07-01,94,3202,2.9
2017-08-01,117,4223,2.8
2017-09-01,140,4272,3.3
2017-10-01,178,4012,4.4
2017-11-01,205,4531,4.5
2017-12-01,898,7078,12.7
2018-01-01,376,5465,6.9
2018-02-01,372,6129,6.1
2018-03-01,1415,8556,16.5
2018-04-01,945,6578,14.4
2018-05-01,345,7840,4.4
2018-06-01,323,4576,7.1
2018-07-01,109,7118,1.5
2018-08-01,553,9181,6.0
2018-09-01,0,1948,0.0
2018-10-01,0,50,0.0
