delivery_month,total_monthly_revenue,previous_monthly_revenue,monthly_revenue_change,monthly_revenue_change_pct
2016-10-01,29874.0,,,
2018-09-01,11469.0,1141792.0,-1130323.0,-99.0
2018-10-01,275.0,11469.0,-11194.0,-97.6
2016-12-01,759.0,9838.0,-9079.0,-92.3
2016-11-01,9838.0,29874.0,-20036.0,-67.1
2018-07-01,796429.0,1003232.0,-206803.0,-20.6
2017-04-01,268687.0,335886.0,-67199.0,-20.0
2017-06-01,430780.0,520141.0,-89361.0,-17.2
2018-02-01,749971.0,851118.0,-101147.0,-11.9
2018-01-01,851118.0,944993.0,-93875.0,-9.9
2018-05-01,1008602.0,1111972.0,-103370.0,-9.3
2017-11-01,651458.0,657565.0,-6107.0,-0.9
2018-06-01,1003232.0,1008602.0,-5370.0,-0.5
2017-07-01,455001.0,430780.0,24221.0,5.6
2017-09-01,580268.0,535530.0,44738.0,8.4
2017-10-01,657565.0,580268.0,77297.0,13.3
2017-08-01,535530.0,455001.0,80529.0,17.7
2018-03-01,892100.0,749971.0,142129.0,19.0
2018-04-01,1111972.0,892100.0,219872.0,24.6
2018-08-01,1141792.0,796429.0,345363.0,43.4
2017-12-01,944993.0,651458.0,293535.0,45.1
2017-03-01,335886.0,198909.0,136977.0,68.9
2017-05-01,520141.0,268687.0,251454.0,93.6
2017-02-01,198909.0,33599.0,165310.0,492.0
2017-01-01,33599.0,759.0,32840.0,4326.7
