customer_state,order_count,state_total_revenue,state_revenue_rank,state_order_rank
SP,40494,5066563.0,1,1
RJ,12350,1759651.0,2,2
MG,11354,1552482.0,3,3
RS,5344,728718.0,4,4
PR,4923,666064.0,5,5
SC,3546,507012.0,6,6
BA,3256,493584.0,7,7
DF,2080,296498.0,8,8
GO,1957,282837.0,9,10
ES,1995,268643.0,10,9
PE,1593,251889.0,11,11
CE,1279,219757.0,12,12
PA,946,174471.0,13,13
MT,886,152192.0,14,14
MA,717,117009.0,15,15
MS,701,115430.0,16,16
PB,517,112587.0,17,17
PI,476,84721.0,18,18
RN,474,82106.0,19,19
AL,397,78856.0,20,20
SE,335,56574.0,21,21
TO,274,48403.0,22,22
RO,243,45683.0,23,23
AM,145,22156.0,24,24
AC,80,15931.0,25,25
AP,67,13375.0,26,26
RR,41,7057.0,27,27
