state,product_category_name_english,total_revenue,total_revenue_ranking,order_count,order_count_ranking
AC,sports_leisure,1677.0,1,9,1
AC,furniture_decor,1316.0,4,7,2
AC,health_beauty,1387.0,3,6,3
AC,computers_accessories,1239.0,5,6,3
AC,telephony,1104.0,7,5,5
AC,electronics,488.0,15,4,6
AC,auto,541.0,12,4,6
AC,watches_gifts,1390.0,2,4,6
AC,baby,698.0,8,3,9
AC,bed_bath_table,568.0,11,3,9
AC,housewares,513.0,14,3,9
AC,perfumery,304.0,17,3,9
AC,toys,235.0,20,3,9
AC,books_general_interest,634.0,9,2,14
AC,garden_tools,629.0,10,2,14
AC,stationery,529.0,13,2,14
AC,luggage_accessories,349.0,16,2,14
AC,fashion_shoes,296.0,18,2,14
AC,,67.0,25,2,14
AC,computers,1200.0,6,1,20
AC,consoles_games,276.0,19,1,20
AC,cool_stuff,100.0,21,1,20
AC,fashion_bags_accessories,90.0,22,1,20
AC,furniture_living_room,80.0,23,1,20
AC,christmas_supplies,70.0,24,1,20
AC,market_place,63.0,26,1,20
AC,small_appliances,54.0,27,1,20
AC,musical_instruments,37.0,28,1,20
AL,health_beauty,12681.0,1,62,1
AL,watches_gifts,11605.0,2,34,2
AL,computers_accessories,7606.0,3,32,3
AL,sports_leisure,3698.0,6,31,4
AL,telephony,4434.0,5,25,5
AL,furniture_decor,3588.0,7,24,6
AL,auto,4579.0,4,21,7
AL,bed_bath_table,1930.0,13,18,8
AL,cool_stuff,2401.0,9,15,9
AL,electronics,326.0,32,12,10
AL,perfumery,1767.0,14,12,10
AL,garden_tools,1588.0,15,12,10
AL,toys,1053.0,17,12,10
AL,housewares,600.0,26,8,14
AL,stationery,655.0,24,8,14
AL,baby,729.0,23,7,16
AL,consoles_games,2683.0,8,7,16
AL,audio,550.0,28,5,18
AL,luggage_accessories,999.0,20,5,18
AL,fashion_bags_accessories,229.0,33,4,20
AL,,575.0,27,4,20
AL,fixed_telephony,732.0,21,4,20
AL,furniture_living_room,730.0,22,3,23
AL,office_furniture,1010.0,19,3,23
AL,home_construction,631.0,25,3,23
AL,fashion_shoes,346.0,31,3,23
AL,pet_shop,2196.0,11,3,23
AL,computers,2050.0,12,2,28
AL,home_appliances_2,2345.0,10,2,28
AL,market_place,220.0,34,2,28
AL,home_appliances,124.0,38,2,28
AL,construction_tools_construction,1045.0,18,1,32
AL,agro_industry_and_commerce,1476.0,16,1,32
AL,air_conditioning,540.0,29,1,32
AL,musical_instruments,367.0,30,1,32
AL,industry_commerce_and_business,199.0,35,1,32
AL,food,190.0,36,1,32
AL,kitchen_dining_laundry_garden_furniture,144.0,37,1,32
AL,drinks,15.0,43,1,32
AL,home_confort,90.0,39,1,32
AL,books_general_interest,61.0,40,1,32
AL,food_drink,44.0,41,1,32
AL,dvds_blu_ray,25.0,42,1,32
AM,health_beauty,2776.0,1,15,1
AM,telephony,766.0,7,14,2
AM,sports_leisure,1363.0,5,12,3
AM,computers_accessories,1816.0,3,10,4
AM,watches_gifts,1755.0,4,10,4
AM,bed_bath_table,681.0,13,7,6
AM,stationery,699.0,12,6,7
AM,toys,722.0,10,6,7
AM,garden_tools,1981.0,2,5,9
AM,baby,658.0,14,5,9
AM,housewares,409.0,20,4,11
AM,pet_shop,375.0,22,4,11
AM,home_construction,753.0,8,4,11
AM,electronics,59.0,33,4,11
AM,cool_stuff,639.0,15,4,11
AM,auto,724.0,9,4,11
AM,furniture_decor,215.0,23,4,11
AM,office_furniture,185.0,25,2,18
AM,consoles_games,423.0,19,2,18
AM,luggage_accessories,391.0,21,2,18
AM,home_appliances,191.0,24,2,18
AM,costruction_tools_garden,133.0,28,2,18
AM,perfumery,95.0,29,2,18
AM,music,16.0,38,1,24
AM,musical_instruments,439.0,18,1,24
AM,home_appliances_2,540.0,17,1,24
AM,,542.0,16,1,24
AM,market_place,180.0,26,1,24
AM,food,150.0,27,1,24
AM,audio,90.0,30,1,24
AM,air_conditioning,89.0,31,1,24
AM,books_general_interest,87.0,32,1,24
AM,computers,1340.0,6,1,24
AM,art,58.0,34,1,24
AM,tablets_printing_image,50.0,35,1,24
AM,drinks,47.0,36,1,24
AM,fixed_telephony,20.0,37,1,24
AM,fashion_bags_accessories,700.0,11,1,24
AP,health_beauty,1381.0,4,10,1
AP,watches_gifts,1640.0,2,7,2
AP,computers_accessories,2050.0,1,6,3
AP,sports_leisure,813.0,6,6,3
AP,housewares,490.0,10,4,5
AP,telephony,305.0,12,4,5
AP,auto,1216.0,5,3,7
AP,bed_bath_table,669.0,7,3,7
AP,electronics,608.0,8,3,7
AP,toys,298.0,13,3,7
AP,cool_stuff,314.0,11,2,11
AP,musical_instruments,294.0,14,2,11
AP,furniture_decor,271.0,15,2,11
AP,garden_tools,240.0,16,2,11
AP,stationery,235.0,17,2,11
AP,fixed_telephony,233.0,18,2,11
AP,art,146.0,19,2,11
AP,computers,1437.0,3,1,18
AP,agro_industry_and_commerce,590.0,9,1,18
AP,consoles_games,86.0,20,1,18
AP,pet_shop,60.0,21,1,18
BA,health_beauty,49955.0,1,319,1
BA,sports_leisure,37010.0,3,250,2
BA,telephony,20163.0,10,220,3
BA,bed_bath_table,24950.0,6,215,4
BA,watches_gifts,45632.0,2,214,5
BA,computers_accessories,32636.0,4,214,5
BA,furniture_decor,23121.0,8,197,7
BA,auto,29113.0,5,145,8
BA,garden_tools,23975.0,7,144,9
BA,housewares,16586.0,12,136,10
BA,cool_stuff,20142.0,11,133,11
BA,toys,14350.0,14,112,12
BA,electronics,6182.0,20,97,13
BA,baby,15072.0,13,92,14
BA,perfumery,9723.0,16,80,15
BA,stationery,7196.0,18,74,16
BA,fashion_bags_accessories,6746.0,19,69,17
BA,office_furniture,14226.0,15,61,18
BA,pet_shop,5656.0,22,53,19
BA,,5945.0,21,45,20
BA,home_appliances,2589.0,29,36,21
BA,musical_instruments,9630.0,17,31,22
BA,consoles_games,3848.0,26,31,22
BA,luggage_accessories,3085.0,27,30,24
BA,construction_tools_construction,4595.0,23,26,25
BA,computers,21044.0,9,19,26
BA,small_appliances,3872.0,25,18,27
BA,furniture_living_room,2494.0,30,17,28
BA,audio,1431.0,37,14,29
BA,books_general_interest,903.0,40,14,29
BA,food,933.0,39,14,29
BA,home_construction,2654.0,28,11,32
BA,art,899.0,41,10,33
BA,books_technical,721.0,47,10,33
BA,home_confort,1170.0,38,10,33
BA,fixed_telephony,4132.0,24,8,36
BA,christmas_supplies,703.0,48,8,36
BA,costruction_tools_garden,1569.0,36,7,38
BA,fashion_shoes,851.0,43,7,38
BA,signaling_and_security,726.0,46,6,40
BA,food_drink,550.0,52,6,40
BA,construction_tools_safety,2356.0,31,6,40
BA,fashion_male_clothing,864.0,42,6,40
BA,air_conditioning,833.0,44,6,40
BA,construction_tools_lights,744.0,45,6,40
BA,fashion_underwear_beach,633.0,50,5,46
BA,home_appliances_2,1895.0,34,5,46
BA,tablets_printing_image,506.0,53,5,46
BA,drinks,401.0,55,5,46
BA,market_place,2136.0,33,4,50
BA,furniture_bedroom,667.0,49,4,50
BA,costruction_tools_tools,590.0,51,4,50
BA,industry_commerce_and_business,465.0,54,4,50
BA,small_appliances_home_oven_and_coffee,1575.0,35,3,54
BA,cine_photo,315.0,56,3,54
BA,kitchen_dining_laundry_garden_furniture,202.0,57,3,54
BA,agro_industry_and_commerce,2257.0,32,3,54
BA,fashion_sport,125.0,58,2,58
BA,home_comfort_2,13.0,62,1,59
BA,fashion_childrens_clothes,90.0,59,1,59
BA,books_imported,77.0,60,1,59
BA,fashio_female_clothing,65.0,61,1,59
CE,health_beauty,31545.0,1,152,1
CE,watches_gifts,29025.0,2,127,2
CE,telephony,6913.0,12,88,3
CE,sports_leisure,10361.0,6,87,4
CE,computers_accessories,11552.0,5,79,5
CE,bed_bath_table,6801.0,13,67,6
CE,furniture_decor,8507.0,7,64,7
CE,toys,7793.0,9,61,8
CE,auto,11806.0,4,53,9
CE,perfumery,8303.0,8,52,10
CE,cool_stuff,12005.0,3,47,11
CE,garden_tools,5981.0,14,45,12
CE,housewares,6958.0,11,44,13
CE,electronics,3693.0,18,40,14
CE,baby,4548.0,16,30,15
CE,stationery,3034.0,22,30,15
CE,fashion_bags_accessories,2507.0,25,26,17
CE,office_furniture,4717.0,15,22,18
CE,luggage_accessories,3317.0,20,20,19
CE,consoles_games,3632.0,19,15,20
CE,,3014.0,23,14,21
CE,pet_shop,1141.0,31,13,22
CE,construction_tools_construction,1793.0,27,9,23
CE,musical_instruments,3262.0,21,7,24
CE,costruction_tools_garden,1988.0,26,7,24
CE,small_appliances,4356.0,17,7,24
CE,books_general_interest,1353.0,30,7,24
CE,computers,7097.0,10,6,28
CE,home_appliances,1611.0,28,6,28
CE,home_construction,1502.0,29,6,28
CE,food,349.0,39,5,31
CE,audio,903.0,32,5,31
CE,construction_tools_safety,883.0,33,5,31
CE,market_place,558.0,35,4,34
CE,home_confort,347.0,40,4,34
CE,fixed_telephony,370.0,38,3,36
CE,food_drink,292.0,41,3,36
CE,books_technical,256.0,42,3,36
CE,home_appliances_2,2654.0,24,3,36
CE,furniture_living_room,603.0,34,2,40
CE,agro_industry_and_commerce,453.0,36,2,40
CE,air_conditioning,446.0,37,2,40
CE,fashion_shoes,250.0,43,2,40
CE,industry_commerce_and_business,248.0,44,2,40
CE,christmas_supplies,160.0,46,2,40
CE,drinks,150.0,47,2,40
CE,fashion_male_clothing,30.0,52,1,47
CE,construction_tools_lights,220.0,45,1,47
CE,music,150.0,47,1,47
CE,kitchen_dining_laundry_garden_furniture,140.0,49,1,47
CE,costruction_tools_tools,93.0,50,1,47
CE,diapers_and_hygiene,60.0,51,1,47
CE,tablets_printing_image,30.0,52,1,47
DF,health_beauty,29543.0,2,219,1
DF,sports_leisure,22467.0,4,188,2
DF,bed_bath_table,16148.0,6,170,3
DF,watches_gifts,32292.0,1,141,4
DF,computers_accessories,23853.0,3,133,5
DF,housewares,12842.0,7,121,6
DF,furniture_decor,12021.0,9,108,7
DF,auto,17259.0,5,100,8
