order_delivered_customer_month,product_category_name_english,total_revenue,total_revenue_ranking,order_count,order_count_ranking
2016-10-01,furniture_decor,4855.0,1,40,1
2016-10-01,health_beauty,2493.0,5,27,2
2016-10-01,perfumery,4040.0,2,23,3
2016-10-01,sports_leisure,1976.0,6,16,4
2016-10-01,toys,3412.0,3,16,4
2016-10-01,computers_accessories,560.0,15,9,6
2016-10-01,baby,1091.0,9,7,7
2016-10-01,telephony,228.0,21,7,7
2016-10-01,housewares,687.0,12,6,9
2016-10-01,fashion_bags_accessories,318.0,17,6,9
2016-10-01,garden_tools,1360.0,8,5,11
2016-10-01,cool_stuff,820.0,10,5,11
2016-10-01,auto,568.0,14,5,11
2016-10-01,consoles_games,1661.0,7,4,14
2016-10-01,fixed_telephony,699.0,11,4,14
2016-10-01,watches_gifts,2711.0,4,4,14
2016-10-01,bed_bath_table,309.0,19,4,14
2016-10-01,market_place,594.0,13,3,18
2016-10-01,industry_commerce_and_business,360.0,16,3,18
2016-10-01,pet_shop,310.0,18,3,18
2016-10-01,audio,157.0,22,2,21
2016-10-01,,66.0,25,2,21
2016-10-01,air_conditioning,300.0,20,1,23
2016-10-01,electronics,108.0,23,1,23
2016-10-01,food,80.0,24,1,23
2016-10-01,fashio_female_clothing,55.0,26,1,23
2016-10-01,fashion_shoes,30.0,27,1,23
2016-10-01,fashion_male_clothing,25.0,28,1,23
2016-11-01,health_beauty,1081.0,3,10,1
2016-11-01,furniture_decor,835.0,5,9,2
2016-11-01,toys,694.0,7,6,3
2016-11-01,office_furniture,1124.0,2,5,4
2016-11-01,consoles_games,1958.0,1,3,5
2016-11-01,air_conditioning,1049.0,4,3,5
2016-11-01,perfumery,790.0,6,3,5
2016-11-01,housewares,600.0,8,3,5
2016-11-01,market_place,321.0,10,2,9
2016-11-01,baby,280.0,11,2,9
2016-11-01,cool_stuff,226.0,12,2,9
2016-11-01,auto,60.0,15,2,9
2016-11-01,computers_accessories,38.0,17,2,9
2016-11-01,pet_shop,380.0,9,1,14
2016-11-01,bed_bath_table,170.0,13,1,14
2016-11-01,diapers_and_hygiene,135.0,14,1,14
2016-11-01,fashion_bags_accessories,55.0,16,1,14
2016-11-01,sports_leisure,36.0,18,1,14
2016-11-01,fixed_telephony,6.0,19,1,14
2016-12-01,auto,500.0,1,1,1
2016-12-01,office_furniture,177.0,2,1,1
2016-12-01,computers_accessories,71.0,3,1,1
2016-12-01,fashion_bags_accessories,11.0,4,1,1
2017-01-01,furniture_decor,5604.0,1,62,1
2017-01-01,health_beauty,4971.0,2,20,2
2017-01-01,toys,1415.0,7,18,3
2017-01-01,fashion_bags_accessories,962.0,12,18,3
2017-01-01,garden_tools,3964.0,3,17,5
2017-01-01,sports_leisure,1275.0,10,15,6
2017-01-01,fixed_telephony,461.0,18,15,6
2017-01-01,auto,2495.0,4,13,8
2017-01-01,baby,991.0,11,12,9
2017-01-01,bed_bath_table,726.0,14,11,10
2017-01-01,computers_accessories,464.0,17,9,11
2017-01-01,cool_stuff,2181.0,5,8,12
2017-01-01,furniture_bedroom,73.0,25,8,12
2017-01-01,pet_shop,125.0,23,7,14
2017-01-01,perfumery,1348.0,8,7,14
2017-01-01,housewares,1287.0,9,7,14
2017-01-01,watches_gifts,1824.0,6,6,17
2017-01-01,electronics,417.0,19,6,17
2017-01-01,telephony,86.0,24,6,17
2017-01-01,consoles_games,944.0,13,4,20
2017-01-01,market_place,364.0,20,3,21
2017-01-01,small_appliances,475.0,15,2,22
2017-01-01,,268.0,22,2,22
2017-01-01,music,20.0,28,2,22
2017-01-01,air_conditioning,300.0,21,1,25
2017-01-01,stationery,11.0,29,1,25
2017-01-01,agro_industry_and_commerce,44.0,26,1,25
2017-01-01,fashion_shoes,35.0,27,1,25
2017-01-01,home_appliances_2,467.0,16,1,25
